^[a-z]*example\.com$	example.com	match
^[a-z]*example\.com$	anotherexample.com	match
^[a-z]*example\.com$	sub.example.com	nomatch
^ex[apm]{3}le.com$	example.com	match
^ex[apm]{3}le.com$	exapple.com	match
^ex[apm]{3}le.com$	noexample.com	nomatch
example	example.com	match
^example$	example.com	nomatch
^example$	example	match
(?i)EXAMPLE	example.com	match
\d+\.example	123.example	match
^.*\.example\.com$	sub.example.com	match
^.*\.example\.com$	example.com	nomatch
^.*.regex.example.com$	foo.regex.example.com	match
^#[0-9a-f]{6}$	#AABBCC	match
^#[0-9a-f]{6}$	#aabbcc	match
^(www\.)?example\.(com|net|org)$	www.example.net	match
^(www\.)?example\.(com|net|org)$	example.org	match
^(?:[a-z0-9-]+\.)+example\.com$	a.b.example.com	match
^(?:[a-z0-9-]+\.)+example\.com$	example.com	nomatch
^(?!www\.).*\.example\.com$	cdn.example.com	match
^(?!www\.).*\.example\.com$	www.example.com	nomatch
(?<=\.)example\.com$	sub.example.com	match
(?<=\.)example\.com$	example.com	nomatch
^(\w+)\.\1\.example\.com$	foo.foo.example.com	match
^(\w+)\.\1\.example\.com$	foo.bar.example.com	nomatch
^(?<sub>[a-z]+)\.example\.com$	mail.example.com	match
^(?'sub'[a-z]+)\.example\.com$	mail.example.com	match
\k<sub>	anything	compile_error
(?m)^example$	example	match
\Aexample\.com\z	example.com	match
\Aexample\.com\Z	example.com	match
^\p{L}+\.example\.com$	мой.example.com	match
^\w+\.example\.com$	tst.example.com	match
^[[:alpha:]]+\.example\.com$	abc.example.com	nomatch
^(?>ab|a)b$	abb	match
^a*+b$	aaab	compile_error
^(?(1)a|b)$	b	compile_error
^(?<open>\()+(?<-open>\))+(?(open)(?!))$	(())	match
domain.example.com	domainXexample.com	match
domain\.example\.com	domainXexample.com	nomatch
.*		match
^$		match
^[a-z-]+\.example\.com$	a-b.example.com	match
